title,name,slug,iframeSrc
"Breakaway Park, Cedar Park, TX",Breakaway Park,breakaway-park,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Breakaway+Park,+Cedar+Park,+TX &aq=&ie=UTF8&hq=&hnear=Breakaway+Park,+Cedar+Park,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Brentwood, Austin, TX",Brentwood,brentwood,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Brentwood,+Austin,+TX &aq=&ie=UTF8&hq=&hnear=Brentwood,+Austin,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Briarpatch, Austin, TX",Briarpatch,briarpatch,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Briarpatch,+Austin,+TX &aq=&ie=UTF8&hq=&hnear=Briarpatch,+Austin,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Briarwood, Georgetown, TX",Briarwood,briarwood,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Briarwood,+Georgetown,+TX &aq=&ie=UTF8&hq=&hnear=Briarwood,+Georgetown,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Bridgehead, Austin, TX",Bridgehead,bridgehead,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Bridgehead,+Austin,+TX &aq=&ie=UTF8&hq=&hnear=Bridgehead,+Austin,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Bridges of Bear Creek, Austin, TX",Bridges of Bear Creek,bridges-of-bear-creek,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Bridges+of+Bear+Creek,+Austin,+TX &aq=&ie=UTF8&hq=&hnear=Bridges+of+Bear+Creek,+Austin,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Brodie Springs, Austin, TX",Brodie Springs,brodie-springs,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Brodie+Springs,+Austin,+TX &aq=&ie=UTF8&hq=&hnear=Brodie+Springs,+Austin,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Brookfield Estates, Pflugerville, TX",Brookfield Estates,brookfield-estates,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Brookfield+Estates,+Pflugerville,+TX &aq=&ie=UTF8&hq=&hnear=Brookfield+Estates,+Pflugerville,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Brookhollow, Pflugerville, TX",Brookhollow,brookhollow,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Brookhollow,+Pflugerville,+TX &aq=&ie=UTF8&hq=&hnear=Brookhollow,+Pflugerville,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Brooks Hollow, Lake Travis, TX",Brooks Hollow,brooks-hollow,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Brooks+Hollow,+Lake+Travis,+TX &aq=&ie=UTF8&hq=&hnear=Brooks+Hollow,+Lake+Travis,+TX&spn=0.020085,0.045447&z=14&output=embed"
"Brushy Creek, Round Rock, TX",Brushy Creek,brushy-creek,"//maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Brushy+Creek,+Round+Rock,+TX &aq=&ie=UTF8&hq=&hnear=Brushy+Creek,+Round+Rock,+TX&spn=0.020085,0.045447&z=14&output=embed"
